Station_No,DateTime_discrete_EST,GageHeight_ft,Discharge_cfs,MeasurmentMethod,QM_ID,StartTime_EST,EndTime_EST
"=""01171000""",5/7/2019 10:27,4.34,8.88,Mid-Section,1,5/7/2019 9:45,5/7/2019 10:45
"=""01171000""",2/20/2020 12:00,4.24,5.83,Mid-Section,2,2/20/2020 11:30,2/20/2020 12:30
"=""01171000""",3/18/2020 9:05,4.25,6.91,Mid-Section,3,3/18/2020 8:30,3/18/2020 9:30
"=""01171000""",3/25/2020 9:42,4.3,7.37,Mid-Section,4,3/25/2020 9:00,3/25/2020 10:00
"=""01171000""",3/30/2020 10:04,4.64,21.2,Mid-Section,5,3/30/2020 9:45,3/30/2020 10:30
"=""01171000""",4/2/2020 8:56,4.39,10.5,Mid-Section,6,4/2/2020 8:30,4/2/2020 9:15
"=""01171000""",4/8/2020 8:17,4.32,7.93,Mid-Section,7,4/8/2020 7:45,4/8/2020 8:30
"=""01171000""",4/15/2020 8:51,4.43,12.8,Mid-Section,8,4/15/2020 8:30,4/15/2020 9:15
"=""01171000""",5/1/2020 7:47,5.05,51.9,Mid-Section,9,5/1/2020 7:00,5/1/2020 8:30
"=""01171000""",5/1/2020 9:56,4.94,40.9,Mid-Section,10,5/1/2020 9:15,5/1/2020 10:30
"=""01171000""",5/6/2020 8:20,4.4,11.6,Mid-Section,11,5/6/2020 7:45,5/6/2020 9:00
"=""01171000""",6/4/2020 8:59,3.93,2,Mid-Section,12,6/4/2020 8:30,6/4/2020 9:15
"=""01171000""",6/9/2020 8:00,3.85,1.41,Mid-Section,13,6/9/2020 7:30,6/9/2020 8:30
"=""01171000""",6/23/2020 8:48,3.74,0.75,Mid-Section,14,6/23/2020 8:30,6/23/2020 9:45
"=""01171000""",6/30/2020 7:42,3.81,1.32,Mid-Section,15,6/30/2020 7:15,6/30/2020 8:00
"=""01171000""",8/5/2020 10:16,3.87,1.63,Mid-Section,16,8/5/2020 9:30,8/5/2020 11:31
"=""01171000""",8/5/2020 10:32,3.87,1.6,Mid-Section,17,8/5/2020 9:30,8/5/2020 11:31
"=""01171000""",8/21/2020 7:55,3.63,0.32,Mid-Section,18,8/21/2020 7:25,8/21/2020 8:30
"=""01171000""",8/29/2020 13:16,4.08,3.92,Mid-Section,19,8/29/2020 13:00,8/29/2020 13:45
"=""01171000""",8/29/2020 14:31,4.06,3.48,Mid-Section,20,8/29/2020 14:00,8/29/2020 15:00
"=""01171000""",9/11/2020 10:24,3.81,1.29,Mid-Section,21,9/11/2020 9:45,9/11/2020 11:53
"=""01171000""",9/11/2020 11:14,3.81,1.24,Mid-Section,22,9/11/2020 9:45,9/11/2020 11:53
"=""01171000""",11/9/2020 10:11,3.83,1.35,Mid-Section,23,11/9/2020 9:30,11/9/2020 11:04
"=""01171000""",2/5/2021 10:39,4.02,3.2,Mid-Section,24,2/5/2021 9:54,2/5/2021 11:29
"=""01171000""",2/25/2021 11:59,4.09,3.84,Mid-Section,25,2/25/2021 11:15,2/25/2021 12:30
"=""01171000""",3/19/2021 11:11,4.32,9.79,Mid-Section,26,3/19/2021 10:45,3/19/2021 12:45
"=""01171000""",7/1/2021 10:00,3.93,2.07,Mid-Section,27,7/1/2021 9:17,7/1/2021 11:15
"=""01171000""",7/1/2021 10:06,3.93,2.15,Mid-Section,28,7/1/2021 9:17,7/1/2021 11:15
"=""01171000""",7/1/2021 10:40,3.92,2.02,Mid-Section,29,7/1/2021 9:17,7/1/2021 11:15
"=""01171000""",7/19/2021 8:32,5.04,56.9,Mid-Section,30,7/19/2021 8:00,7/19/2021 9:00
"=""01171000""",8/6/2021 11:03,4.13,4.76,Mid-Section,31,8/6/2021 9:30,8/6/2021 11:30
"=""01171000""",8/17/2021 10:25,3.92,1.91,Mid-Section,32,8/17/2021 9:33,8/17/2021 10:54
"=""01171000""",9/8/2021 9:23,4.19,5.7,Mid-Section,33,9/8/2021 8:30,9/8/2021 10:15
"=""01171000""",9/23/2021 9:42,4.04,2.84,Mid-Section,34,9/23/2021 8:45,9/23/2021 10:30
"=""01171005""",3/18/2020 11:37,7.64,1.56,Mid-Section,1,3/18/2020 11:15,3/18/2020 12:00
"=""01171005""",3/26/2020 9:12,7.64,1.52,Mid-Section,2,3/26/2020 9:00,3/26/2020 9:30
"=""01171005""",3/29/2020 12:49,7.79,4.14,Mid-Section,3,3/29/2020 12:30,3/29/2020 13:05
"=""01171005""",4/6/2020 12:54,7.68,2.22,Mid-Section,4,4/6/2020 12:30,4/6/2020 13:30
"=""01171005""",4/8/2020 9:54,7.67,2.35,Mid-Section,5,4/8/2020 9:30,4/8/2020 10:10
"=""01171005""",4/13/2020 8:53,7.76,3.82,Mid-Section,6,4/13/2020 8:30,4/13/2020 9:15
"=""01171005""",4/21/2020 12:54,7.69,2.38,Mid-Section,7,4/21/2020 12:30,4/21/2020 13:15
"=""01171005""",6/2/2020 8:38,7.61,0.75,Mid-Section,8,6/2/2020 8:15,6/2/2020 9:00
"=""01171005""",6/9/2020 9:47,7.58,0.53,Mid-Section,9,6/9/2020 9:30,6/9/2020 10:00
"=""01171005""",8/26/2020 9:07,7.46,0.1,Mid-Section,10,8/26/2020 8:45,8/26/2020 9:30
"=""01171005""",9/9/2020 11:52,7.43,0.11,Mid-Section,11,9/9/2020 11:30,9/9/2020 12:00
"=""01171005""",11/2/2020 9:04,7.5,0.44,Mid-Section,12,11/2/2020 8:45,11/2/2020 9:30
"=""01171005""",3/24/2021 9:56,7.62,1.25,Mid-Section,20,3/24/2021 9:30,3/24/2021 10:45
"=""01171005""",3/28/2021 16:49,7.84,4.41,Mid-Section,21,3/28/2021 16:30,3/28/2021 17:15
"=""01171005""",7/20/2021 12:09,7.77,4.07,Mid-Section,22,7/20/2021 11:45,7/20/2021 12:30
"=""01171005""",8/24/2021 9:09,7.73,3.78,Mid-Section,23,8/24/2021 8:45,8/24/2021 9:30
"=""01171010""",3/3/2020 10:16,9.13,5.67,Mid-Section,6,3/3/2020 9:45,3/3/2020 10:45
"=""01171010""",3/19/2020 8:28,9.55,15,Mid-Section,7,3/19/2020 8:00,3/19/2020 9:00
"=""01171010""",3/27/2020 8:17,9.22,7.09,Mid-Section,8,3/27/2020 8:00,3/27/2020 8:45
"=""01171010""",4/1/2020 8:18,9.21,7.36,Mid-Section,9,4/1/2020 8:00,4/1/2020 8:45
"=""01171010""",4/7/2020 12:32,9.09,5.5,Mid-Section,10,4/7/2020 12:15,4/7/2020 13:00
"=""01171010""",4/15/2020 11:01,9.11,6.83,Mid-Section,11,4/15/2020 10:45,4/15/2020 11:15
"=""01171010""",5/5/2020 10:21,9.26,8.5,Mid-Section,12,5/5/2020 10:00,5/5/2020 10:45
"=""01171010""",6/4/2020 10:33,8.73,1.37,Mid-Section,13,6/4/2020 10:00,6/4/2020 11:30
"=""01171010""",6/12/2020 9:17,8.73,1.34,Mid-Section,14,6/12/2020 9:00,6/12/2020 9:30
"=""01171010""",8/28/2020 9:00,8.58,0.01,Mid-Section,15,8/28/2020 8:42,8/28/2020 9:19
"=""01171010""",3/29/2021 9:42,9.25,7.07,Mid-Section,16,3/29/2021 9:15,3/29/2021 10:30
"=""01171010""",7/9/2021 15:09,9.61,19.7,Mid-Section,17,7/9/2021 14:30,7/9/2021 15:45
"=""01171010""",7/20/2021 10:22,9.46,15.2,Mid-Section,18,7/20/2021 10:00,7/20/2021 10:45
"=""01171010""",9/2/2021 7:00,9.84,29.2,Mid-Section,19,9/2/2021 6:30,9/2/2021 7:30
"=""01171020""",4/28/2019 14:00,3.88,38.2,Mid-Section,1,4/28/2019 13:27,4/28/2019 12:52
"=""01171020""",5/10/2019 10:10,3.56,15.3,Mid-Section,2,5/10/2019 10:00,5/10/2019 10:45
"=""01171020""",5/14/2019 12:09,3.75,25.8,Mid-Section,3,5/14/2019 12:00,5/14/2019 12:45
"=""01171020""",7/15/2019 11:50,2.59,0.05,Mid-Section,4,7/15/2019 11:30,7/15/2019 12:30
"=""01171020""",7/16/2019 12:48,2.73,0.26,Mid-Section,5,7/16/2019 12:30,7/16/2019 13:30
"=""01171020""",3/27/2020 9:41,3.51,16.7,Mid-Section,6,3/27/2020 9:00,3/27/2020 10:00
"=""01171020""",4/1/2020 9:22,3.67,23.2,Mid-Section,7,4/1/2020 9:00,4/1/2020 9:45
"=""01171020""",4/7/2020 10:11,3.47,16,Mid-Section,8,4/7/2020 9:51,4/7/2020 10:30
"=""01171020""",4/15/2020 11:55,3.66,20.8,Mid-Section,9,4/15/2020 11:30,4/15/2020 12:15
"=""01171020""",4/20/2020 8:57,3.56,18.2,Mid-Section,10,4/20/2020 8:30,4/20/2020 9:15
"=""01171020""",5/4/2020 7:20,3.74,26,Mid-Section,11,5/4/2020 6:45,5/4/2020 7:30
"=""01171020""",6/3/2020 11:39,2.68,0.17,Mid-Section,12,6/3/2020 11:15,6/3/2020 12:00
"=""01171020""",6/30/2020 10:38,2.9,0.93,Mid-Section,13,6/30/2020 10:00,6/30/2020 11:00
"=""01171020""",8/25/2020 9:44,2.47,0.03,Mid-Section,14,8/25/2020 9:30,8/25/2020 10:00
"=""01171020""",9/11/2020 8:30,2.81,0.76,Mid-Section,15,9/11/2020 8:00,9/11/2020 9:00
"=""01171020""",9/30/2020 10:59,3.02,1.67,Mid-Section,16,9/30/2020 10:30,9/30/2020 11:30
"=""01171020""",9/30/2020 12:07,2.98,1.94,Mid-Section,17,9/30/2020 11:45,9/30/2020 12:30
"=""01171020""",10/13/2020 14:58,2.67,0.03,Mid-Section,18,10/13/2020 14:45,10/13/2020 15:15
"=""01171020""",3/25/2021 9:44,3.56,16.7,Mid-Section,20,3/25/2021 9:00,3/25/2021 10:30
"=""01171020""",4/30/2021 11:00,4.04,58.9,Mid-Section,21,4/30/2021 10:30,4/30/2021 11:30
"=""01171020""",5/5/2021 9:07,4.19,88.7,Mid-Section,22,5/5/2021 8:30,5/5/2021 9:30
"=""01171020""",7/19/2021 10:26,4.3,101,Mid-Section,23,7/19/2021 10:00,7/19/2021 11:00
"=""01171020""",9/2/2021 8:11,4.34,110,Mid-Section,24,9/2/2021 7:45,9/2/2021 8:45
"=""01171030""",2/12/2020 9:52,5.67,7.54,Mid-Section,3,2/12/2020 9:15,2/12/2020 10:15
"=""01171030""",3/20/2020 10:09,5.98,20.5,Mid-Section,4,3/20/2020 9:45,3/20/2020 10:34
"=""01171030""",4/2/2020 10:37,5.98,20.9,Mid-Section,5,4/2/2020 10:10,4/2/2020 11:00
"=""01171030""",4/7/2020 9:04,5.84,15.8,Mid-Section,6,4/7/2020 8:45,4/7/2020 9:30
"=""01171030""",4/14/2020 9:28,6.3,43.1,Mid-Section,7,4/14/2020 9:15,4/14/2020 9:52
"=""01171030""",4/27/2020 7:28,5.98,20.9,Mid-Section,8,4/27/2020 7:00,4/27/2020 7:45
"=""01171030""",5/4/2020 8:17,6.13,30.8,Mid-Section,9,5/4/2020 7:45,5/4/2020 8:30
"=""01171030""",6/3/2020 10:30,5.18,0.67,Mid-Section,10,6/3/2020 10:00,6/3/2020 11:00
"=""01171030""",6/12/2020 8:06,5.33,1.72,Mid-Section,11,6/12/2020 7:45,6/12/2020 8:30
"=""01171030""",8/25/2020 10:44,5.11,0.27,Mid-Section,12,8/25/2020 10:30,8/25/2020 11:00
"=""01171030""",9/9/2020 14:31,5.12,0.34,Mid-Section,13,9/9/2020 14:00,9/9/2020 15:00
"=""01171030""",11/4/2020 8:32,5.16,0.45,Mid-Section,14,11/4/2020 8:15,11/4/2020 9:00
"=""01171030""",3/29/2021 11:08,6.16,33.7,Mid-Section,15,3/29/2021 10:45,3/29/2021 11:30
"=""01171030""",4/30/2021 12:08,6.5,58.7,Mid-Section,17,4/30/2021 11:45,4/30/2021 12:45
"=""01171030""",5/5/2021 10:18,6.68,81.4,Mid-Section,18,5/5/2021 9:45,5/5/2021 10:45
"=""01171030""",7/19/2021 12:01,6.74,99.1,Mid-Section,19,7/19/2021 11:30,7/19/2021 12:30
"=""01171030""",9/2/2021 9:38,6.78,100,Mid-Section,20,9/2/2021 9:00,9/2/2021 10:15
"=""01171040""",2/5/2020 9:59,7.41,1.83,Mid-Section,1,2/5/2020 9:30,2/5/2020 10:30
"=""01171040""",3/19/2020 10:37,7.85,8.29,Mid-Section,2,3/19/2020 10:15,3/19/2020 11:00
"=""01171040""",3/31/2020 7:53,7.64,4.33,Mid-Section,3,3/31/2020 7:30,3/31/2020 8:00
"=""01171040""",4/6/2020 9:51,7.52,2.43,Mid-Section,4,4/6/2020 9:30,4/6/2020 10:15
"=""01171040""",4/13/2020 10:01,7.73,6.34,Mid-Section,5,4/13/2020 9:45,4/13/2020 10:30
"=""01171040""",4/21/2020 14:43,7.61,4.42,Mid-Section,6,4/21/2020 14:30,4/21/2020 15:00
"=""01171040""",4/30/2020 10:44,7.6,3.73,Mid-Section,7,4/30/2020 10:30,4/30/2020 11:00
"=""01171040""",6/2/2020 10:35,7.28,0.64,Mid-Section,8,6/2/2020 10:15,6/2/2020 11:00
"=""01171040""",6/10/2020 8:59,7.23,0.34,Mid-Section,9,6/10/2020 8:45,6/10/2020 9:30
"=""01171040""",9/10/2020 10:51,7.17,0.07,Mid-Section,10,9/10/2020 10:15,9/10/2020 11:15
"=""01171040""",9/30/2020 14:42,7.54,2.84,Mid-Section,11,9/30/2020 14:15,9/30/2020 15:00
"=""01171040""",11/2/2020 10:00,7.5,1.23,Mid-Section,12,11/2/2020 9:45,11/2/2020 10:15
"=""01171040""",3/28/2021 15:14,7.89,7.06,Mid-Section,13,3/28/2021 15:00,3/28/2021 15:30
